Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Angelo Bongiovanni,M,D,Raw,,,,Open,69.7,75,,,,,,,,,,,220.0,230.0,-237.5,,230.0,230.0,1,173.28,172.93,167.62,,,,,WPC-Italy,WPC,1/6/2021,Italy,,,National Championships
岩井 純徳,M,SBD,Raw,39.5,35-39,40-49,Masters 1,94.4,105,185.0,195.0,200.0,,200.0,140.0,147.5,-150.0,,147.5,230.0,-245.0,-245.0,,230.0,577.5,10,364.83,360.26,344.61,75.0,Yes,,,JPA,IPF,16/9/2017,Japan,,Hyogo,Japanese Masters Classic Powerlifting Championships
Vladimir Simonenko,M,B,Multi-ply,51.0,50-54,50-59,Pro Masters,129.05,140,,,,,,,,,,204.12,,,,,,204.12,1,114.55,115.6,110.48,58.66,,,,XPC,XPC,4/3/2012,USA,OH,Columbus,International Open
Elizabeth Currie,F,SBD,Single-ply,,,,Girls,71.21,75,,,,,102.06,,,,,52.16,,,,,92.99,247.21,5,247.62,243.08,214.18,41.83,Yes,,,THSWPA,,12/1/2019,USA,TX,Mann Middle School,Abilene High Invitational
Osman Akhtemov,M,B,Single-ply,,,,Sub-Juniors,55.7,59,,,,,,40.0,45.0,52.5,,52.5,,,,,,52.5,5,47.21,48.05,47.12,27.89,Yes,Ukraine,,UkrainePF,IPF,2/4/2013,Ukraine,,Simferopol,Crimean Bench Press Championships
Shane Nutt,M,SBD,Raw,16.5,16-17,14-18,MR-O,82.4,83,220.0,242.5,-252.5,,242.5,125.0,-132.5,,,125.0,265.0,-295.0,-295.0,,265.0,632.5,1,428.75,424.02,408.02,87.88,Yes,USA,MI,USAPL,IPF,15/7/2017,USA,MI,,Rochester Hills BarBellum
Lillia Farlow,F,SBD,Single-ply,,18-19,,Girls,73.03,75,,,,,149.69,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,3/3/2020,USA,TX,Propser,Region 6 Div 1 Regionals
Ray Fraser,M,SBD,Single-ply,,,,M1,66.8,67.5,-170.0,170.0,185.0,,185.0,120.0,125.0,127.5,,127.5,215.0,225.0,-240.0,,225.0,537.5,3,417.43,417.91,405.86,71.38,Yes,Scotland,,BAWLA,IPF,25/4/1998,England,,Birmingham,British Masters Championships
Rocco Grillo,M,B,Raw,22.5,20-23,19-23,Junior,100.57,105,,,,,,175.0,185.0,188.0,,188.0,,,,,,188.0,1,115.43,114.16,109.02,85.9,Yes,Italy,,FIPL,IPF,15/12/2017,Italy,,Cecina,XVIII Campionato Italiano di Panca e III Campionato Classic di Panca
Ivan Bukreev,M,B,Raw,16.0,16-17,14-18,Pro Teen 14-16,88.9,90,,,,,,95.0,-100.0,100.0,,100.0,,,,,,100.0,2,65.07,64.24,61.61,48.51,,,,WRPF,WRPF,28/3/2017,Russia,SVE,Yekaterinburg,Sverdlovsk Championship
Julie del Bosque,F,SBD,Single-ply,17.0,16-17,14-18,Girls,55.34,56,,,,,122.47,,,,,61.23,,,,,115.67,299.37,5,349.75,355.53,314.56,58.48,Yes,,,THSWPA,,13/2/2019,USA,TX,Los Fresnos United,Dan Smith Invitational
Brad Duguay,M,BD,Raw,31.0,24-34,24-39,M_OCR_CPF,106.6,110,,,,,,175.0,182.5,192.5,,192.5,267.5,290.0,302.5,,302.5,495.0,4,296.74,294.26,281.04,,,,,CPF,WPC,20/4/2019,Canada,PE,Charlottetown,PEI Open
Olena Lysenko,F,B,Raw,40.0,40-44,40-49,Masters 40-44,53.65,56,,,,,,70.0,75.0,-77.5,,75.0,,,,,,75.0,1,89.47,91.26,80.81,69.89,Yes,Ukraine,,GPA,GPA,22/4/2016,Ukraine,,Kyiv,Eurasian Championships
Georgos Peribolaris,M,B,Raw,,,,Masters,88.2,90,,,,,,-110.0,,,,,,,,,,,DQ,,,,,,,,ESDT,,3/5/2019,Greece,,Pefki,Hellenic Powerlifting Championship
Lars Henrik Flakke,M,B,Raw,17.5,18-19,14-18,Teen 14-18,70.8,74,,,,,,115.0,-130.0,135.0,,135.0,,,,,,135.0,1,100.62,100.3,97.15,73.72,Yes,,,NSF,IPF,1/11/2011,Norway,,Vestlund park,Åpent stevne
Jacob Gomez,M,SBD,Single-ply,18.5,18-19,19-23,M-T3,117.9,120,272.5,285.0,302.5,,302.5,185.0,200.0,-205.0,,200.0,190.0,205.0,220.0,,220.0,722.5,1,417.41,417.14,399.61,70.31,Yes,USA,TX,USAPL,IPF,25/2/2018,USA,TX,,Texas Strength Classic
Brianna Linares,F,B,Raw,,,,Class 2A,57.42,58.5,,,,,,-74.84,-74.84,-74.84,,,,,,,,,DQ,,,,,Yes,,,FHSAA,,10/2/2022,USA,FL,Port St. Joe,Girls Weightlifting State Championships
Jarod Buchanan,M,SBD,Multi-ply,,,,Open,99.11,100,,,,,281.23,,,,,188.24,,,,,204.12,673.58,2,416.22,411.42,393.01,70.74,,,,SPF,,14/9/2019,USA,,,Powerlifting for Paws
Katie Pruitt,F,B,Raw,,,,Class 2A,49.21,49.9,,,,,,54.43,58.97,-61.24,,58.97,,,,,,58.97,15,74.74,76.67,68.14,59.49,Yes,,,FHSAA,,10/2/2022,USA,FL,Port St. Joe,Girls Weightlifting State Championships
Monique Amy Newton,F,D,Raw,21.0,20-23,19-23,F_JR_BPU,52.5,56,,,,,,,,,,,120.0,132.5,140.0,,140.0,140.0,1,169.52,173.24,153.51,,,UK,,WPC,WPC,31/8/2013,England,,Folkestone,UK Grand Prix and Equipped National Championships
Paul Gawthorne,M,B,Raw,,,,sen,77.9,82.5,,,,,,110.0,117.5,-125.0,,117.5,,,,,,117.5,5,82.32,81.6,78.72,60.99,Yes,,,BAWLA,IPF,1/1/2006,UK,,Milton Keynes,British Unequipped Bench Press
Matthew Boxberger,M,SBD,Raw,60.0,60-64,60-69,MR-M3a,88.5,93,80.0,87.5,102.5,,102.5,90.0,102.5,107.5,,107.5,160.0,170.0,185.0,,185.0,395.0,1,257.6,254.37,243.97,52.95,Yes,USA,CA,USAPL,IPF,23/2/2019,USA,CA,Mountain View,Boss of NorCal Winter Championship
Rafael Fatykhov,M,SBD,Raw,32.5,24-34,24-39,Pro Open,98.15,100,-190.0,200.0,-220.0,,200.0,130.0,135.0,-142.5,,135.0,190.0,200.0,-210.0,,200.0,535.0,4,332.01,328.09,313.48,68.19,Yes,,,WPC-RUS,WPC,10/3/2012,Russia,ROS,Rostov-on-Don,Southern Federal District Championships
Susan Maguire,F,SBD,Raw,53.5,50-54,50-59,Masters 2,71.8,72,-105.0,105.0,110.0,,110.0,62.5,65.0,-67.5,,65.0,125.0,130.0,135.0,,135.0,310.0,3,309.11,303.13,267.04,62.86,Yes,Australia,,OceaniaPF,IPF,8/12/2016,New Zealand,,Christchurch,Asia & Oceania Classic Powerlifting Championships
Bill Gifford,M,SBD,Raw,,50-54,50-59,Masters 50-54,82.01,82.5,,,,,249.48,,,,,149.69,,,,,254.01,653.17,1,443.95,439.13,422.65,90.97,,USA,,SPF,,13/6/2020,USA,TN,Knoxville,Nationals
Olivia Shafer,F,SBD,Raw,17.5,18-19,14-18,FR-T,78.4,84,152.0,-161.0,-161.0,,152.0,65.8,70.3,77.1,,77.1,147.4,154.2,163.3,,163.3,392.4,1,373.51,363.19,318.86,76.27,Yes,USA,WI,USAPL,IPF,29/10/2016,USA,WI,Hudson,Western Wisconsin Open
Jeremy Friedman,M,SBD,Raw,35.5,35-39,24-39,MR-O,82.2,83,160.0,165.0,-172.5,,165.0,-125.0,-125.0,-125.0,,,215.0,-227.5,-227.5,,215.0,,DQ,,,,,Yes,USA,MA,USAPL,IPF,8/12/2018,USA,MA,,Central Mass Open
Gracie Myers,F,SBD,Single-ply,,,,Girls,50.08,51.9,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,16/2/2017,USA,TX,Merkel JH,Merkel Powerlifting Meet
Brittany Bond,F,SBD,Single-ply,21.5,20-23,19-23,F-O,95.6,84+,180.0,-190.0,190.0,,190.0,-107.5,107.5,112.5,,112.5,140.0,150.0,175.0,,175.0,477.5,1,414.88,403.28,348.32,71.69,Yes,USA,AK,USAPL,IPF,20/10/2018,USA,WI,,Milwaukee Collegiate Cup
Ine Anderson,F,SBD,Raw,23.5,24-34,24-39,Open,62.9,63,,,,,117.5,,,,,80.0,,,,,140.0,337.5,1,363.34,362.9,320.45,73.91,Yes,,,DSF,IPF,24/11/2013,Denmark,,Tårnby,TSK Cup Klassisk
Ilya Lantsev,M,SBD,Wraps,23.0,20-23,24-39,Juniors 20-23,93.8,100,160.0,190.0,210.0,,210.0,-105.0,110.0,130.0,,130.0,190.0,210.0,-230.0,,210.0,550.0,1,348.51,344.12,329.25,71.65,,,,WRPF,WRPF,16/3/2019,Russia,KYA,Krasnoyarsk,Siberian Power Show
Danny Boykins,F,SBD,Single-ply,,,,Girls,66.04,67.3,,,,,77.11,,,,,34.02,,,,,79.38,190.51,9,199.2,197.54,174.32,33.51,Yes,,,THSWPA,,21/1/2017,USA,TX,Lake Belton Middle School,Belton Tiger Invitational
Daniel Abercrombie,M,SBD,Raw,27.0,24-34,24-39,MR-O,78.3,83,140.0,150.0,160.0,,160.0,80.0,87.5,-92.5,,87.5,180.0,190.0,200.0,,200.0,447.5,7,312.56,309.75,298.73,63.81,Yes,USA,MA,USAPL,IPF,8/12/2019,USA,MA,,Western MASSacre
Ryan Hanson,M,SBD,Raw,27.5,24-34,24-39,MR-O,109.1,120,232.5,242.5,252.5,,252.5,167.5,175.0,182.5,,182.5,225.0,235.0,247.5,,247.5,682.5,1,405.48,402.67,384.77,82.79,Yes,USA,TX,USAPL,IPF,1/12/2018,USA,TX,,Collegiate Cup & Texas Open
Rock Hoffman,M,SBD,Raw,22.5,20-23,19-23,MR-Jr,103.95,105,-212.5,222.5,-232.5,,222.5,-155.0,162.5,-167.5,,162.5,220.0,260.0,-282.5,,260.0,645.0,9,390.59,386.8,369.34,80.01,Yes,USA,NY,USAPL,IPF,26/6/2021,USA,CT,,CT Summer Showdown
Petr Hrubý,M,B,Single-ply,53.5,50-54,50-59,Masters 2,74.8,75,,,,,,-140.0,140.0,-150.0,,140.0,,,,,,140.0,1,100.61,99.94,96.58,54.02,Yes,Czechia,,CSST,IPF,24/6/2006,Czechia,,Kuřim,Mistrovství ČR Masters v Benčpresu
Darya Markelova,F,SBD,Raw,15.0,13-15,14-18,Open,47.5,48,60.0,62.5,65.0,,65.0,40.0,42.5,45.0,,45.0,60.0,72.5,75.0,,75.0,185.0,1,240.57,246.9,219.92,50.75,,,,RPU,,20/3/2021,Russia,BA,Salavat,Republic of Bashkortostan Championships
Aaron Herrington,M,SBD,Raw,,,,Open,104.45,105,172.5,192.5,195.0,,195.0,100.0,102.5,-110.0,,102.5,202.5,-215.0,-215.0,,202.5,500.0,4,302.19,299.33,285.82,61.88,Yes,Canada,NB,CPU,IPF,29/8/2020,Canada,NB,Moncton,New Brunswick Provincials
Mason Burch,M,SBD,Single-ply,22.5,20-23,19-23,M-O,65.0,66,120.0,-140.0,-147.5,,120.0,-107.5,-107.5,-107.5,,,165.0,180.0,-192.5,,180.0,,DQ,,,,,Yes,USA,TX,USAPL,IPF,9/4/2016,USA,TX,San Antonio,Texas State Championships
Daniel Heintz,M,SBD,Raw,21.5,20-23,19-23,Juniors,73.7,74,,,,,237.5,,,,,132.5,,,,,250.0,620.0,3,449.85,447.27,432.49,91.21,Yes,Canada,SK,CPU,IPF,19/2/2018,Canada,AB,Calgary,Canadian Championship
Deb Ellard,F,SBD,Wraps,55.0,55-59,50-59,F-4,62.2,67.5,85.0,90.0,92.5,,92.5,50.0,55.0,-57.5,,55.0,95.0,-100.0,105.0,,105.0,252.5,1,273.7,273.82,241.83,55.7,,Canada,,GPC-CAN,GPC,18/5/2014,Canada,,Calgary,Canadian Nationals
Natalya Grosheva,F,B,Unlimited,39.0,35-39,24-39,Pro Open,55.4,56,,,,,,-70.0,70.0,-75.0,,70.0,,,,,,70.0,1,81.72,83.06,73.49,46.15,,Russia,,WPC,WPC,13/12/2019,Russia,MOW,Moscow,World Cup
Salvatore Pisasale,M,B,Single-ply,32.5,24-34,24-39,Open,65.0,66,,,,,,180.5,-187.5,-187.5,,180.5,,,,,,180.5,1,143.05,143.53,139.58,79.58,Yes,Italy,,FIPL,IPF,14/6/2013,Italy,,Senigallia,Trofeo Bertoletti di Powerlifting Raw e di Panca Geared
Stephanie Cantu,F,SBD,Single-ply,,18-19,,Girls,64.09,67.3,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,,THSWPA,,15/3/2019,USA,TX,Waco,6A State Meet
Igor Bogachev,M,B,Multi-ply,37.0,35-39,24-39,Amateur Open,78.1,82.5,,,,,,155.0,165.0,172.5,,172.5,,,,,,172.5,2,120.67,119.6,115.36,64.26,Yes,Russia,,WPC-RUS,WPC,25/4/2015,Russia,MOW,Moscow,Moscow Bench Press Championships
Larisa Nizhnikova,F,B,Raw,34.0,24-34,24-39,Open,54.0,56,,,,,,45.0,50.0,-55.0,,50.0,,,,,,50.0,1,59.39,60.53,53.59,46.35,,,,RPU,,14/10/2017,Russia,,Rubtsovsk,Rubtsovsk Bench Press Championship
Maksim Semchenko,M,SBD,Wraps,29.0,24-34,24-39,Open,97.5,100,245.0,-255.0,255.0,,255.0,157.5,167.5,-172.5,,167.5,-255.0,260.0,-275.0,,260.0,682.5,2,424.81,419.72,401.1,87.27,,Russia,,WRPF,WRPF,31/3/2019,Russia,YAR,Yaroslavl,Russian Powerlifting Championships
Aleksandr Mashtakov,M,B,Raw,24.0,24-34,24-39,Amateur Open,80.5,82.5,,,,,,-130.0,130.0,-137.5,,130.0,,,,,,130.0,5,89.31,88.4,85.16,66.33,Yes,Russia,,WPC-RUS,WPC,29/11/2014,Russia,SAR,Saratov,Silver Bar
Anton Begalko,M,B,Single-ply,31.0,24-34,24-39,Pro Open,120.8,125,,,,,,-360.0,-360.0,-360.0,,,,,,,,,DQ,,,,,,Russia,,WPC,WPC,3/11/2017,Russia,MOW,Khimki,World Champions Cup
Neil Nunn,M,SBD,Raw,,,,Junior Varsity,57.74,59.8,79.38,90.72,104.33,,104.33,58.97,63.5,70.31,,70.31,113.4,129.27,133.81,,133.81,308.44,11,268.84,272.63,266.82,51.63,,,,MHSPLA,,12/3/2016,USA,MI,Norton Shores,State Championships
Sergiy Kolomoets,M,SBD,Single-ply,24.5,24-34,24-39,Open,111.3,125,,,,,200.0,,,,,170.0,,,,,215.0,585.0,2,344.96,343.05,327.99,58.28,Yes,Ukraine,,UkrainePF,IPF,6/6/2009,Ukraine,,Kyev,Kyev Open Powerlifting Championship
Daniil Egorov,M,D,Raw,15.0,13-15,14-18,Teen 13-15,92.9,100,,,,,,,,,,,110.0,125.0,130.0,,130.0,130.0,1,82.76,81.71,78.2,,,Russia,,RPU,,7/3/2021,Russia,KEM,Prokopyevsk,Prokopyevsk Championships
Elizabeth Evangelista,F,SBD,Raw,25.5,24-34,24-39,FR-O,95.1,84+,142.5,150.0,157.5,,157.5,67.5,75.0,-77.5,,75.0,145.0,157.5,167.5,,167.5,400.0,1,348.3,338.44,292.49,72.37,Yes,USA,,USAPL,IPF,14/11/2015,USA,CA,,Fall Classic/SoCal Regional
Teresa Putchio,F,B,Multi-ply,,,,F_OEM_APF,47.6,48,,,,,,52.5,-65.0,-65.0,,52.5,,,,,,52.5,1,68.16,69.96,62.31,39.29,Yes,USA,,APF,WPC,26/6/2004,USA,IL,Waukegan,Chicago Summer Bash
Stina Fagermo,F,SBD,Single-ply,,18-19,14-18,Teen 14-18,99.0,84+,95.0,105.0,115.0,,115.0,40.0,50.0,-55.0,,50.0,100.0,115.0,-125.0,,115.0,280.0,1,239.88,233.82,201.12,41.58,Yes,,,NSF,IPF,10/7/2011,Norway,,Rana,Seriestevne
Rolf Olsen,M,B,Raw,48.5,45-49,40-49,Masters 40-49,78.5,82.5,,,,,,120.0,130.0,,,130.0,,,,,,130.0,1,90.66,89.83,86.63,67.21,Yes,Norway,,NSF,IPF,10/2/2010,Norway,,Halden,Klubbmesterskap
Vetle Valentinsen,M,SBD,Single-ply,26.5,24-34,24-39,Open,94.8,105,215.0,225.0,-235.0,,225.0,180.0,190.0,200.0,,200.0,190.0,200.0,210.0,,210.0,635.0,3,400.36,395.37,378.14,68.19,Yes,,,NSF,IPF,23/6/2017,Norway,,Oslo,Åpent stevne
Jerika Villarreal,F,SBD,Single-ply,,,,Girls,87.54,90,,,,,115.67,,,,,40.82,,,,,122.47,278.96,4,251.81,243.94,212.57,43.18,Yes,,,THSWPA,,2/2/2019,USA,TX,Martin,Martin Girls II
Mitchell Squires,M,SBD,Raw,27.0,24-34,24-39,MR-O,78.5,83,142.5,152.5,160.0,,160.0,95.0,102.5,107.5,,107.5,185.0,197.5,210.0,,210.0,477.5,7,333.0,329.96,318.2,68.0,Yes,,,USAPL,IPF,26/5/2018,USA,CA,Mountain View,Boss of NorCal 7
Vladimir Kulakov,M,D,Raw,59.5,55-59,60-69,Pro Masters 55-59,74.5,75,,,,,,,,,,,85.0,,,,85.0,85.0,1,61.24,60.85,58.81,,,Russia,,WPC-RUS,WPC,24/10/2015,Russia,MOW,Moscow,PROMotion
Ralph Eckley,M,SBD,Raw,63.0,60-64,60-69,M_MR_5_APF,98.3,100,130.0,140.0,-145.0,,140.0,95.0,97.5,-102.5,,97.5,142.5,152.5,165.0,,165.0,402.5,1,249.61,246.68,235.68,51.26,,,,APF,WPC,2/8/2014,USA,TX,,Texas Challenge
Tatyana Ilina,F,B,Raw,38.0,35-39,24-39,Pro Open,72.3,75,,,,,,85.0,90.0,-95.0,,90.0,,,,,,90.0,1,89.4,87.6,77.15,70.39,,,,WRPF,WRPF,19/10/2018,Russia,LEN,St. Petersburg,Eastern European Championships
Destiny Hall,F,SBD,Single-ply,,,,Girls,100.15,100+,,,,,111.13,,,,,47.63,,,,,142.88,301.64,9,257.25,251.03,215.61,44.64,Yes,,,THSWPA,,7/3/2015,USA,TX,Lehman Kyle,Girls Region 2 Division 1
Gulchachak Agliullina,F,D,Raw,35.0,35-39,24-39,Open,63.4,67.5,,,,,,,,,,,115.0,122.5,130.0,,130.0,130.0,1,139.28,138.95,122.68,,Yes,Russia,,RPU,,18/5/2019,Russia,TA,Naberezhnie Chelny,Power of the Ancestors Tournament
Vladimir Syomochkin,M,SBD,Raw,27.0,24-34,24-39,Pro Open,101.1,110,-250.0,260.0,-270.0,,260.0,175.0,185.0,-195.0,,185.0,270.0,285.0,295.0,,295.0,740.0,2,453.35,448.42,428.23,93.0,,Russia,,WPC-RUS,WPC,28/5/2014,Russia,KRS,Kursk,Russian Championships
Kim Cofino,F,SBD,Raw,41.0,40-44,40-49,Open,61.3,63,97.5,105.0,110.0,,110.0,52.5,57.5,-60.0,,57.5,105.0,112.5,120.0,,120.0,287.5,1,314.46,315.27,278.48,64.04,Yes,,,ThaiPF,IPF,10/11/2018,Thailand,,Bangkok,Bangkok Open
Artem Verzhanovskiy,M,B,Raw,15.0,13-15,14-18,Teen 13-15,85.8,90,,,,,,-100.0,100.0,-102.5,,100.0,,,,,,100.0,1,66.29,65.49,62.9,49.39,,Russia,,WPA-RUS,WPA,28/7/2018,Russia,MOW,Moscow,Moscow Championships
Rovshan Abdulaev,M,SBD,Multi-ply,16.0,16-17,14-18,Pro Teen 16-17,79.0,82.5,160.0,172.5,182.5,,182.5,110.0,120.0,-130.0,,120.0,180.0,190.0,,,190.0,492.5,1,342.15,338.93,326.76,58.57,,,,WPC-RUS,WPC,7/2/2007,Russia,CHE,Chelyabinsk,Russian Championships
Kimberlynn Patzold,F,SBD,Single-ply,17.5,18-19,14-18,Girls,77.93,82.3,,,,,149.69,,,,,74.84,,,,,154.22,378.75,3,361.63,351.79,308.94,61.45,Yes,USA,,THSWPA,,26/2/2015,USA,TX,West Brook,Region 4 Division 1 Girls Regional Meet
Joe Gilpin,M,SBD,Multi-ply,23.5,24-34,24-39,Amateur Open,137.89,140,-324.32,324.32,-351.53,,324.32,226.8,-235.87,,,226.8,290.3,317.51,328.85,,328.85,879.97,4,484.31,492.87,468.99,81.02,Yes,,,IPA,,19/1/2008,USA,OH,Columbus,Columbus Pro-Am
Dmitriy Smirnov,M,B,Multi-ply,36.0,35-39,24-39,Open,127.7,140,,,,,,320.0,-340.0,-360.0,,320.0,,,,,,320.0,1,180.16,181.59,173.64,92.25,,Russia,,RPU,,30/11/2019,Russia,LEN,St. Petersburg,Neva Battle V
Jesper B Mikkelsen,M,B,Raw,28.5,24-34,24-39,Open,123.98,120+,,,,,,190.0,200.0,210.0,,210.0,,,,,,210.0,1,119.33,119.87,114.78,87.38,Yes,Denmark,,DSF,IPF,16/9/2018,Denmark,,Aalborg SK,JM Klassisk Bænkpres
Jeffrey Sperber,M,SBD,Raw,,,,MR-M2,104.7,105,182.5,195.0,207.5,,207.5,145.0,155.0,-162.5,,155.0,215.0,232.5,-245.0,,232.5,595.0,1,359.26,355.9,339.85,73.56,Yes,,,USAPL,IPF,18/4/2015,USA,PA,,PA State Championships
Elena Lomas,F,SBD,Single-ply,,,,Girls,95.53,100,,,,,151.95,,,,,56.7,,,,,147.42,356.07,8,309.47,300.8,259.83,53.47,Yes,,,THSWPA,,2/3/2020,USA,TX,Seagraves,Region 1 Division 3 Girls
Andrey Bandurov,M,B,Raw,37.0,35-39,24-39,Open,97.3,100,,,,,,110.0,115.0,-120.0,,115.0,,,,,,115.0,3,71.65,70.78,67.65,53.38,,,,RPU,,9/5/2017,Russia,,Kanevskaya,Kanevskaya Victory Cup
Raquel Garrido Estrada,F,D,Raw,35.0,35-39,24-39,Open,65.4,67.5,,,,,,,,,,,120.0,132.5,142.5,,142.5,142.5,2,149.86,148.82,131.35,,,Spain,,WRPF-Spain,WRPF,26/9/2020,Spain,,Barcelona,Drums of War II
Ekaterina Kosenko,F,SBD,Raw,43.0,40-44,40-49,Pro Masters 40-49,72.7,75,157.5,-165.0,-165.0,,157.5,85.0,90.0,92.5,,92.5,177.5,187.5,192.5,,192.5,442.5,1,438.23,429.15,377.9,89.16,,Russia,,WRPF,WRPF,4/9/2021,Russia,STA,Stavropol,National Cup
Sergio Lourenco,M,SBD,Raw,,,,Open,104.0,105,,,,,190.0,,,,,120.0,,,,,222.5,532.5,3,322.4,319.28,304.87,66.04,Yes,Canada,BC,CPU,IPF,23/2/2019,Canada,BC,Burnaby,BCPA Winter Open
Amina Boulahna,F,B,Raw,30.0,24-34,24-39,F_OR_WPC,77.6,82.5,,,,,,100.0,107.5,-115.0,,107.5,,,,,,107.5,1,102.86,100.1,87.92,82.01,,Finland,,WPC-Finland,WPC,24/4/2021,Finland,,Lahti,National Championships
Nuno Santos,M,D,Raw,20.0,20-23,19-23,Juniors 20-23,85.9,90,,,,,,,,,,,260.0,270.0,280.0,,280.0,280.0,1,185.49,183.25,175.99,,,Portugal,,WRPF-Portugal,WRPF,6/10/2018,Portugal,,,Portugal Championships
Daryen Proctor,M,SBD,Single-ply,21.5,20-23,19-23,M-O,66.0,66,182.5,200.0,-205.0,,200.0,105.0,112.5,-120.0,,112.5,200.0,215.0,227.5,,227.5,540.0,1,423.1,424.01,412.01,72.33,Yes,USA,MS,USAPL,IPF,14/4/2018,USA,GA,,Georgia Spring Open
Artem Rubtsov,M,SBD,Single-ply,18.5,18-19,19-23,Amateur Teen 18-19,80.4,82.5,215.0,-230.0,230.0,,230.0,125.0,130.0,135.0,,135.0,245.0,,,,245.0,610.0,1,419.39,415.14,399.92,71.78,Yes,Russia,,WPC,WPC,14/3/2012,Russia,SVE,Yekaterinburg,Eastern European Championships
Tatyana Polstyanova,F,SBD,Wraps,52.0,50-54,50-59,Open,43.4,44,110.0,120.0,-130.0,,120.0,60.0,62.5,-65.0,,62.5,130.0,-140.0,-140.0,,130.0,312.5,1,435.0,444.04,398.91,94.18,,Kyrgyzstan,,WRPF,WRPF,10/5/2019,Kazakhstan,,Almaty,Asian Championships
Petman Tanja,F,B,Raw,36.5,35-39,24-39,Open,71.21,72,,,,,,70.0,75.0,-80.0,,75.0,,,,,,75.0,1,75.12,73.75,64.98,59.01,Yes,,,SVNL,IPF,14/12/2019,Finland,,Ylöjärvi,YlöR Klassinen penkkipunnerrus
Nick Toulis,M,SBD,Single-ply,,,,Open,93.0,93,-220.0,-225.0,-230.0,,,-130.0,-130.0,130.0,,130.0,230.0,240.0,-252.5,,240.0,,DQ,,,,,Yes,,,NZPF,IPF,26/11/2011,New Zealand,WGN,Wellington,Bledisbro Open
Kristi Ward,F,SBD,Single-ply,,18-19,,Girls,63.78,67.3,,,,,108.86,,,,,49.9,,,,,115.67,274.42,3,292.95,291.99,257.8,49.2,Yes,,,THSWPA,,31/1/2015,USA,TX,Comanche,Comanche Invitational
Kimberley Cowell,F,SBD,Raw,30.0,24-34,24-39,F-C-Open,70.3,72,125.0,135.0,140.0,,140.0,80.0,85.0,-87.5,,85.0,160.0,172.5,180.0,,180.0,405.0,1,408.58,401.73,354.08,83.05,Yes,England,NW,EPA,IPF,9/12/2018,England,,Manchester,Christmas Spectacular II
Duane Bull,M,SBD,Wraps,44.0,40-44,40-49,M1,80.9,82.5,-225.0,-225.0,-225.0,,,125.0,135.0,140.0,,140.0,260.0,-272.5,,,260.0,,DQ,,,,,,Canada,,GPC,GPC,13/9/2015,USA,NV,Las Vegas,World Championships
Jamie Lavoie,M,SBD,Single-ply,,,,Open,87.5,90,,,,,225.0,,,,,170.0,,,,,225.0,620.0,3,406.73,401.68,385.46,69.48,Yes,Canada,ON,CPU,IPF,21/8/2010,Canada,ON,St. Catherines,Niagara Open
Caolan Burke-Prior,M,SBD,Raw,22.5,20-23,19-23,MR-Jr,91.28,93,195.0,210.0,220.0,,220.0,150.0,157.5,-165.0,,157.5,220.0,240.0,255.0,,255.0,632.5,1,406.11,400.94,384.03,83.5,Yes,USA,PA,USAPL,IPF,10/10/2021,USA,DE,,Delaware State Championships
Meg Malloy,F,SBD,Raw,38.5,35-39,24-39,FR-O,83.75,84,100.0,105.0,112.5,,112.5,60.0,62.5,-65.0,,62.5,117.5,122.5,127.5,,127.5,302.5,2,278.74,270.15,236.23,57.19,Yes,USA,PA,USAPL,IPF,12/5/2018,USA,PA,,Kilodelphia Iron Open
Ethan Cole,M,SBD,Raw,14.5,13-15,14-18,MR-T1,96.1,100,147.5,165.0,-170.0,,165.0,90.0,100.0,-105.0,,100.0,165.0,180.0,-185.0,,180.0,445.0,1,278.8,275.38,263.27,57.3,Yes,USA,MN,USAPL,,13/2/2022,USA,MN,,Minnesota State High School Teen and Youth Championships
Oleksandr Skidan,M,SBD,Raw,20.0,20-23,19-23,Open,82.71,83,,,,,200.0,,,,,,,,,,,,DQ,,,,,Yes,,,UkrainePF,IPF,21/5/2021,Ukraine,,,Ukrainian Classic Powerlifting Championships
Alby Owens,M,SBD,Wraps,32.0,24-34,24-39,M-OR,94.3,95,270.0,285.0,-295.0,,285.0,155.0,165.0,-170.0,,165.0,265.0,275.0,282.5,,282.5,732.5,21,462.98,457.18,437.34,95.18,,Australia,,ProRaw,,15/3/2019,Australia,VIC,Melbourne,XI
Andriy Bezverkhiy,M,SBD,Single-ply,21.5,20-23,19-23,Open,73.85,74,-230.0,-230.0,-230.0,,,,,,,,,,,,,,DQ,,,,,Yes,Ukraine,,UkrainePF,IPF,26/5/2012,Ukraine,,Kerch,Crimean Powerlifting Championships
